Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 to $2,499","Margin of Error; With cash rent: - $2,000 to $2,499","Estimate; With cash rent: - $2,500 to $2,999","Margin of Error; With cash rent: - $2,500 to $2,999","Estimate; With cash rent: - $3,000 to $3,499","Margin of Error; With cash rent: - $3,000 to $3,499","Estimate; With cash rent: - $3,500 or more","Margin of Error; With cash rent: - $3,500 or more",Estimate; No cash rent,Margin of Error; No cash rent
Lower Lawrenceville,48,800.0,118.697093477,779.0,115.0,25.0,23.3238075794,26.0,42.201895692,26.0,30.6757233004,61.0,47.0744091838,29.0,25.8069758011,27.0,25.0,0.0,14.1421356237,55.0,34.0587727319,43.0,44.1474801093,32.0,27.6586333719,27.0,26.9258240357,55.0,43.0813184571,114.0,75.0066663704,9.0,18.0277563773,53.0,43.0813184571,72.0,46.6476151588,30.0,27.2029410175,40.0,29.9666481275,55.0,46.3249392876,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,21.0,36.4005494464
Manchester,49,475.0,96.8968523741,475.0,96.8968523741,6.0,14.1421356237,17.0,23.2594066992,49.0,38.3275357935,32.0,26.0,29.0,36.4005494464,45.0,37.0,0.0,14.1421356237,9.0,18.0277563773,8.0,16.4012194669,39.0,38.9486841883,31.0,33.1209903234,4.0,12.2065556157,64.0,48.6004115209,56.0,39.2045915678,27.0,24.2074368738,22.0,22.360679775,9.0,17.2046505341,28.0,24.1867732449,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Marshall-Shadeland,50,599.0,152.059198998,570.0,149.432258901,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,10.0,26.9072480942,13.0,24.4131112314,24.0,33.1963853453,19.0,24.289915603,114.0,80.8393468553,89.0,76.5571681817,45.0,32.1714158843,16.0,31.2409987036,73.0,47.2228758125,114.0,68.4324484437,6.0,21.9317121995,47.0,53.6749476013,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,29.0,38.5875627631
Middle Hill,51,660.0,111.749720358,660.0,111.749720358,93.0,54.5343928177,9.0,17.3205080757,28.0,32.2645316098,92.0,48.4767985742,55.0,39.8246155035,5.0,16.2480768092,52.0,57.3933794091,51.0,39.3064880141,32.0,22.0907220344,80.0,54.5252235208,10.0,17.9164728672,23.0,20.4205778567,47.0,35.3411940942,13.0,18.547236991,26.0,24.5967477525,10.0,17.3205080757,24.0,31.3687742827,3.0,15.3622914957,7.0,16.7630546142,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Morningside,52,580.0,132.427338567,529.0,127.255648205,0.0,20.0,10.0,23.579652245,0.0,20.0,11.0,24.9799919936,0.0,20.0,0.0,20.0,9.0,22.2710574513,53.0,50.0099990002,69.0,63.4428877022,91.0,59.4053869611,15.0,23.3666428911,50.0,31.7804971641,36.0,25.9036676939,77.0,53.7680202351,17.0,32.9241552663,38.0,31.2409987036,9.0,22.9128784748,44.0,32.511536414,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,51.0,36.8781778292
Mount Oliver Borough,53,872.0,161.554944214,835.0,161.431099854,10.0,26.4575131107,29.0,44.5084261685,37.0,45.7055795281,11.0,24.9799919936,8.0,21.6564078277,8.0,20.5182845287,34.0,47.1168759575,113.0,84.3860177992,48.0,49.8096376217,139.0,80.6163755077,119.0,70.0642562224,104.0,64.1638527522,89.0,62.369864518,24.0,27.2946881279,35.0,35.8050275799,18.0,25.1594912508,0.0,20.0,9.0,21.6564078277,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,37.0,37.6828873629
Mount Washington,54,2557.0,236.926148831,2496.0,233.615068008,7.0,30.347981811,24.0,39.306488014,19.0,35.2278299076,57.0,52.2398315465,34.0,41.8688428308,18.0,32.7566787084,47.0,39.1663120551,84.0,56.4180822078,69.0,48.8466989674,260.0,99.538937105,130.0,54.6900356555,197.0,81.0740402348,354.0,119.758089497,170.0,83.8749068554,113.0,76.3609848023,250.0,93.2577074563,155.0,74.6726188104,344.0,116.292734082,140.0,80.0749648767,24.0,33.0151480384,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,61.0,38.0394532032
Mt. Oliver,55,97,57,97,57,6,8,0,10,0,10,0,10,0,10,19,31,17,20,17,27,0,10,0,10,0,10,29,31,2,3,4,7,0,10,0,10,0,10,3,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10
New Homestead,56,2,5,2,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,2,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
North Oakland,57,2099.0,227.094693906,2045.0,225.0,35.0,44.955533586,18.0,36.6196668472,40.0,47.5815090135,108.0,66.0378679244,23.0,37.549966711,0.0,24.4948974278,52.0,59.76621119,22.0,34.292856399,10.0,28.0891438104,31.0,40.0124980475,42.0,39.6862696659,129.0,91.7496594,265.0,129.325171564,110.0,75.0266619276,130.0,68.4543643605,178.0,74.2226380561,172.0,86.8734712096,333.0,117.222011586,131.0,67.6313536757,181.0,88.1135630876,35.0,46.8614980555,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,54.0,41.5451561558
North Shore,58,154.0,45.1220566907,145.0,46.0977222865,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,18.0277563773,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,18.0,29.7321374946,32.0,23.2594066992,8.0,13.4536240471,60.0,34.4818792991,18.0,22.360679775,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,17.2046505341
Northview Heights,59,498,81,498,81,58,47,54,53,74,67,77,51,52,46,5,8,23,26,11,12,43,42,0,10,29,30,11,12,0,10,29,21,5,8,0,10,24,30,0,10,0,10,3,6,0,10,0,10,0,10,0,10,0,10
Oakwood,60,316,50,316,50,0,10,0,10,0,10,59,28,19,16,0,10,6,10,31,18,11,13,27,25,33,21,4,7,37,25,17,13,44,38,17,14,11,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Overbrook,61,311.0,91.8477000256,277.0,87.1378218686,0.0,22.360679775,3.0,20.6155281281,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,10.0,20.8806130178,46.0,41.7612260357,0.0,22.360679775,0.0,22.360679775,27.0,28.8617393794,46.0,43.6348484586,70.0,47.1168759576,0.0,22.360679775,7.0,22.360679775,53.0,43.3128156554,12.0,27.5862284483,3.0,20.8806130178,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,34.0,35.2987251894
Perry North,62,556.0,115.615742873,532.0,112.893755363,0.0,24.4948974278,35.0,42.4852915725,20.0,34.292856399,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,20.0,20.7364413533,9.0,22.6495033058,5.0,23.7486841741,71.0,43.6577599059,57.0,37.509998667,79.0,46.2493243194,45.0,43.1508980209,15.0,22.2036033112,83.0,50.3587132481,80.0,57.8013840665,13.0,25.1594912508,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,24.0,26.9072480942
Perry South,63,830.0,150.913882728,812.0,151.281195131,40.0,34.1320963318,8.0,25.3771550809,19.0,27.4954541697,51.0,34.2490875791,59.0,47.3814309619,32.0,31.1287648326,43.0,31.4165561448,13.0,25.0,53.0,52.3067873225,32.0,37.4165738677,108.0,71.1758385971,77.0,62.1852072442,107.0,67.6904720031,35.0,39.5979797464,65.0,47.6025209417,50.0,41.2310562561,0.0,24.4948974278,11.0,27.4954541697,0.0,24.4948974278,0.0,24.4948974278,9.0,26.3818119165,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,18.0,28.7054001888
Point Breeze,64,719.0,124.775798935,672.0,121.651140562,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,6.0,25.7681974534,0.0,26.4575131106,9.0,28.2134719593,0.0,26.4575131106,10.0,28.7228132327,73.0,70.4911341943,15.0,29.206163733,72.0,44.6989932773,57.0,41.2553026895,52.0,40.4227658628,8.0,27.276363394,48.0,47.759815745,43.0,37.9077828421,76.0,45.6508488421,116.0,54.3046959295,57.0,31.4801524774,30.0,30.8058436015,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,47.0,37.7491721764
Point Breeze North,65,660.0,159.251373621,660.0,159.251373621,0.0,17.3205080757,43.0,70.4343666118,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,63.0,84.9352694703,11.0,23.6854385647,10.0,22.1133443875,49.0,55.5337735077,154.0,103.426302264,26.0,31.064449134,42.0,39.5600808897,14.0,25.3179778023,30.0,32.6343377442,75.0,64.7302093307,56.0,47.085029468,59.0,37.6031913539,28.0,28.7054001888,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Polish Hill,66,376.0,64.0312423743,348.0,61.400325732,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,14.0,14.8660687473,39.0,21.9317121995,25.0,16.4012194669,38.0,27.8567765544,20.0,17.8044938148,58.0,41.7252920901,19.0,13.0,5.0,13.4536240471,15.0,14.8660687473,41.0,41.2310562562,32.0,26.4007575649,25.0,20.6155281281,0.0,14.1421356237,17.0,28.7923600978,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,28.0,17.691806013
Regent Square,67,133,41,125,40,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,12,13,0,10,0,10,22,18,38,21,5,7,7,10,11,12,14,14,0,10,16,16,0,10,0,10,0,10,0,10,8,9
Ridgemont,68,26,26,26,26,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,12,18,0,10,0,10,0,10,0,10,0,10,14,20,0,10,0,10,0,10,0,10,0,10
Shadyside,69,5548.0,347.223271109,5387.0,342.24260401,0.0,37.4165738677,8.0,38.6781592116,0.0,37.4165738677,0.0,37.4165738677,8.0,38.6781592116,0.0,37.4165738677,38.0,43.6806593357,34.0,41.5090351612,43.0,50.0599640431,116.0,63.5767253009,130.0,77.9615289742,245.0,99.4132787911,252.0,78.4538080656,305.0,105.58408971,393.0,120.917327129,568.0,158.477127688,554.0,144.672042911,1138.0,191.994791597,861.0,173.306087602,508.0,145.192975037,147.0,84.2140130857,20.0,40.6448028658,8.0,40.7553677446,11.0,39.0512483796,161.0,88.7299273075
Sheraden,70,848.0,175.473644746,811.0,173.657709302,0.0,24.4948974278,0.0,24.4948974278,9.0,26.9258240357,37.0,41.5331193146,65.0,57.8446194559,17.0,33.5410196625,45.0,67.6535291024,49.0,40.3112887415,75.0,58.7367006223,47.0,46.0543157587,91.0,60.9754048777,27.0,35.7910603364,149.0,95.6556323485,60.0,63.6003144647,62.0,58.1033561854,3.0,23.4307490277,75.0,77.1816040258,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,37.0,40.6448028658
South Oakland,71,737.0,146.13007904,737.0,146.13007904,4.0,19.5192212959,0.0,20.0,46.0,51.9711458407,0.0,20.0,8.0,22.2710574513,0.0,20.0,0.0,20.0,41.0,32.9545141066,30.0,27.6043474837,30.0,29.7489495612,33.0,30.3973683071,61.0,66.0075753228,47.0,45.912961133,64.0,42.201895692,36.0,28.6879765756,21.0,22.6495033058,42.0,47.4657771451,55.0,48.4355241533,78.0,52.4309069156,93.0,53.3385414124,48.0,48.6723740946,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
South Shore,72,8,9,8,9,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,7,0,10,4,6,0,10,0,10,0,10,0,10,0,10,0,10
South Side Flats,73,1926.0,238.501572321,1868.0,234.814820657,15.0,33.5410196625,0.0,24.4948974278,80.0,63.8905313799,32.0,29.883105595,38.0,30.2324329156,27.0,43.2319326425,27.0,31.3049516849,63.0,46.3249392876,49.0,56.6038867923,95.0,55.8390544331,19.0,29.1890390387,179.0,88.8144132447,158.0,90.0166651237,35.0,41.0487515036,96.0,70.8942874991,51.0,45.2327315116,68.0,49.8497743224,261.0,108.027774206,248.0,106.705201373,227.0,103.662915259,90.0,61.7818743647,0.0,24.4948974278,0.0,24.4948974278,10.0,26.9258240357,58.0,53.6563137012
South Side Slopes,74,935.0,145.089627471,909.0,145.808093055,5.0,26.0959767014,0.0,26.4575131106,0.0,26.4575131106,14.0,27.8208554865,8.0,27.276363394,37.0,52.5357021462,0.0,26.4575131106,35.0,31.8433666562,55.0,47.30750469,120.0,71.8331399842,49.0,38.7943294826,33.0,35.7491258634,21.0,27.6767050061,59.0,51.526692112,13.0,30.3973683071,152.0,71.8888030225,14.0,27.276363394,131.0,63.0872411824,49.0,36.9323706252,94.0,49.1019347887,10.0,26.4575131106,10.0,29.8161030318,0.0,26.4575131106,0.0,26.4575131106,26.0,29.2916370318
Spring Garden,75,125.0,43.9089968002,119.0,43.0464865001,0.0,14.1421356237,0.0,14.1421356237,6.0,13.4536240471,6.0,13.4536240471,23.0,21.4709105536,6.0,13.4536240471,6.0,13.4536240471,5.0,12.8062484749,15.0,23.2594066992,25.0,17.691806013,13.0,17.2046505341,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,5.0,12.8062484749,3.0,11.1803398875,6.0,13.4536240471,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,6.0,12.8062484749
Spring Hill-City View,76,441.0,112.964596224,421.0,114.560027933,13.0,25.3179778023,56.0,52.7351874937,30.0,50.0399840128,43.0,45.1331363856,49.0,45.3982378513,11.0,21.3541565041,47.0,63.5924523823,0.0,17.3205080757,18.0,24.4948974278,33.0,55.8211429478,32.0,48.1248376621,34.0,61.6441400297,40.0,55.4797260267,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,9.0,19.8997487421,0.0,17.3205080757,6.0,16.7630546143,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,20.0,26.0384331326
Squirrel Hill North,77,1403.0,167.128692928,1325.0,161.579701696,0.0,31.6227766016,20.0,43.8634243989,0.0,31.6227766016,8.0,32.6955654486,0.0,31.6227766016,0.0,31.6227766016,28.0,37.5898922584,0.0,31.6227766016,13.0,33.5410196625,8.0,32.3109888427,35.0,41.8807831828,46.0,41.0365690573,83.0,63.8983567865,16.0,33.4215499342,73.0,50.3785668712,112.0,54.7448627727,92.0,57.697486947,241.0,74.859869089,272.0,81.104870384,146.0,57.8186821019,24.0,40.2616442784,72.0,67.6609192962,36.0,55.7584074377,0.0,31.6227766016,78.0,52.744667977
Squirrel Hill South,78,4059.0,317.778224553,3998.0,315.461566596,15.0,41.5812457727,10.0,37.7491721764,153.0,109.316055546,39.0,48.9897948556,88.0,59.3717104352,42.0,50.7838557024,27.0,41.0365690573,49.0,55.5877684388,80.0,82.365041128,176.0,89.022469074,307.0,118.515821729,150.0,96.9123315166,153.0,74.2159012612,288.0,131.422981248,238.0,118.781311661,500.0,149.726417174,377.0,125.634390196,564.0,150.548995346,225.0,88.6566410373,367.0,130.479883507,22.0,41.4366987102,9.0,37.0,46.0,66.7008245826,73.0,67.5573830162,61.0,53.0188645673
St. Clair,79,53,36,42,34,0,10,0,10,0,10,0,10,0,10,0,10,10,14,0,10,4,7,19,29,0,10,0,10,0,10,7,12,0,10,2,6,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,11,16
Stanton Heights,80,359.0,92.5688932634,329.0,90.9615303301,5.0,19.0787840284,0.0,20.0,10.0,20.5182845287,12.0,20.0,0.0,20.0,6.0,19.519221296,0.0,20.0,5.0,19.0787840284,21.0,28.0356915377,6.0,19.519221296,59.0,39.4841740448,72.0,50.931326313,60.0,36.8374809128,29.0,32.0780298647,5.0,19.0787840284,39.0,48.6312656631,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,30.0,33.7786915081
Strip District,81,448,57,448,57,0,10,0,10,7,10,0,10,0,10,0,10,0,10,17,18,6,9,0,10,0,10,6,10,0,10,6,10,7,10,0,10,0,10,0,10,111,50,193,50,73,35,8,13,0,10,14,11,0,10
Summer Hill,82,114,42,110,42,0,10,0,10,0,10,0,10,0,10,0,10,0,10,3,7,0,10,0,10,27,31,17,20,14,17,7,12,10,10,22,20,0,10,10,9,0,10,0,10,0,10,0,10,0,10,0,10,4,7
Swisshelm Park,83,63,28,53,26,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,7,10,0,10,6,9,0,10,13,13,0,10,0,10,14,14,7,10,0,10,6,8,0,10,0,10,0,10,0,10,0,10,10,11
Terrace Village,84,775.0,102.829956725,769.0,102.230132544,92.0,46.0434577329,20.0,20.9045449604,80.0,46.6904701197,56.0,32.1247568084,0.0,17.3205080757,39.0,34.4673758792,54.0,41.7731971485,94.0,54.9454274712,28.0,29.883105595,33.0,29.5465734054,48.0,34.3802268753,50.0,38.4317577012,0.0,17.3205080757,8.0,18.547236991,14.0,20.4205778567,7.0,19.2093727123,35.0,28.7228132327,49.0,44.3170396123,36.0,24.4948974278,26.0,30.4795013083,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,6.0,16.7630546143
Troy Hill,85,540.0,132.280006048,527.0,133.843191833,0.0,14.1421356237,34.0,56.8858506133,0.0,14.1421356237,0.0,14.1421356237,14.0,18.6010752377,29.0,32.8024389337,0.0,14.1421356237,43.0,35.4400902933,0.0,14.1421356237,50.0,63.7887137353,9.0,17.2046505341,65.0,42.9418211072,6.0,19.7230829233,74.0,29.8328677804,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,17.0,31.6227766017,50.0,39.1152144312,108.0,68.7313611098,14.0,24.1660919472,0.0,14.1421356237,0.0,14.1421356237,14.0,24.1660919472,13.0,21.4709105536
Upper Hill,86,429.0,142.119667886,419.0,138.401589586,13.0,20.6155281281,6.0,16.7630546143,15.0,27.0,19.0,33.1662479036,14.0,27.0,16.0,28.7228132327,0.0,17.3205080757,17.0,19.416487839,15.0,25.3179778023,90.0,83.8391316749,82.0,66.790717918,29.0,30.347981811,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,21.0,29.5972971739,11.0,36.823905279,22.0,30.4795013083,42.0,57.7581163128,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,7.0,17.3205080757,0.0,17.3205080757,10.0,20.6155281281
Upper Lawrenceville,87,693.0,132.382022949,680.0,132.314020421,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,29.0,42.4264068712,13.0,24.4948974278,16.0,28.7228132327,0.0,17.3205080757,81.0,59.3043000127,40.0,36.8510515454,57.0,49.6890329952,57.0,63.4350061087,42.0,35.0713558335,91.0,67.4536878161,19.0,25.3179778023,61.0,43.8292140016,32.0,38.6781592116,22.0,31.3687742827,68.0,47.4973683482,47.0,41.8090899207,5.0,17.9164728672,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,13.0,18.4932420089
West End,88,64,45,64,45,0,10,10,16,0,10,0,10,7,10,14,21,0,10,0,10,4,6,4,6,0,10,0,10,0,10,0,10,25,41,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
West Oakland,89,426.0,73.4098086089,410.0,71.5891053164,30.0,37.3630833845,6.0,13.4536240471,22.0,20.591260282,41.0,41.2310562562,0.0,14.1421356237,0.0,14.1421356237,29.0,28.7923600978,0.0,14.1421356237,28.0,35.4400902933,33.0,29.4108823397,18.0,26.0,13.0,21.4709105536,6.0,13.4536240471,14.0,18.8679622641,27.0,18.8679622641,60.0,33.3766385366,23.0,29.7321374946,19.0,25.079872408,0.0,14.1421356237,37.0,24.3515913238,4.0,11.6619037897,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,16.0,18.0277563773
Westwood,90,519.0,118.562219952,502.0,117.153745139,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,7.0,14.8660687473,10.0,18.0277563773,10.0,18.8679622641,50.0,46.0977222865,22.0,23.2594066992,101.0,55.542776308,56.0,44.1474801093,113.0,74.2765104188,65.0,47.8852795753,63.0,66.7532770731,5.0,12.8062484749,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,17.0,19.1049731745
Windgap,91,110.0,69.3397432934,110.0,69.3397432934,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,7.0,15.6204993518,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,35.0,36.4005494464,0.0,14.1421356237,0.0,14.1421356237,28.0,44.1474801093,0.0,14.1421356237,10.0,18.0277563773,30.0,47.0744091838,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
